Feature ID,Domain,Phylum,Class,Order,Family,Genus,Species
9e543bad20380475bde2860febaeb025,Bacteria, Firmicutes, Clostridia, Peptostreptococcales-Tissierellales, Family_XI, Finegoldia, Finegoldia_magna
46a5ce110ac838a9418483004bc809b5,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_jensenii
4d50b29a626467d8740a51cdd5df7b07,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_iners
df209545328ee26204e097d81454b5bc,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Limosilactobacillus,
0d2478912bd967b81aa936e77cba78f3,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_iners
b668dce887542e7cd51243dcf715b2cc,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_jensenii
b649a66b5f3e66c9a7f7d9e6d0040b5f,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Porphyromonadaceae, Porphyromonas, Porphyromonas_uenonis
ec2694bf4d33d2334a402476764cd471,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_crispatus
ac93cf994ef8a71acb4206af85abb5d0,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Porphyromonadaceae, Porphyromonas, Porphyromonas_levii
7e87b8fc9ce56664ff4470ba00637fc3,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus,
bcd016d9ae9cc13e5ffed620fa697630,Bacteria, Firmicutes, Bacilli, Lactobacillales, Aerococcaceae, Facklamia, Facklamia_hominis
f17d3da8eb98435912cf7cfb2d1bfbdb,Bacteria, Actinobacteriota, Actinobacteria, Propionibacteriales, Propionibacteriaceae, Cutibacterium, Cutibacterium_acnes
33948169502460230b84d2042dfe68ac,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_iners
3b4f344a458bbc573bc1ce99d0fa6643,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_crispatus
54f11e4166db0e7a9a09b11c439381fe,Bacteria, Actinobacteriota, Actinobacteria, Bifidobacteriales, Bifidobacteriaceae, Gardnerella, Gardnerella_vaginalis
fe5f6e5dce990933dfdb50987cd28d90,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_crispatus
1ddca25ebabebc083967024a1cf75c4f,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_crispatus
c3d15c8c74b83ef71de93400d2fa6d8d,Bacteria, Actinobacteriota, Actinobacteria, Micromonosporales, Micromonosporaceae, Actinoplanes,
b7a02b86f32f691531f29b598f421955,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_iners
b00c0e217e90ac9315bffddd3bb58797,Bacteria, Actinobacteriota, Actinobacteria, Actinomycetales, Actinomycetaceae, Actinotignum, Actinotignum_schaalii
51b5e47d63b46dd5a947b4efd89f9be5,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_crispatus
2113db33d5c68057584ab03a56d06db7,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_iners
320461d68bb0aaff462809d557f5c21c,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_crispatus
841ffdddb63c75c25ac3af2e2ea9349f,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_iners
f514a3cd7399a6867246831035e2e52a,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_crispatus
242e81f252584d7ae363312a597d8000,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_jensenii
2d09d6c7aae02d6f12d972a9b31c4678,Bacteria, Firmicutes, Clostridia, Peptostreptococcales-Tissierellales, Family_XI, Peptoniphilus, Peptoniphilus_grossensis
3fe0e278f6b2e473d4dceebae698fb23,Bacteria, Fusobacteriota, Fusobacteriia, Fusobacteriales, Leptotrichiaceae, Sneathia, Sneathia_sanguinegens
f4c3646884a40d43833f6d4b60d9bb03,Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus, Streptococcus_peroris
1fc3e3623c55dc6b8d7cac25593da896,Bacteria, Firmicutes, Clostridia, Peptostreptococcales-Tissierellales, Family_XI, Anaerococcus, uncultured_bacterium
c5fd66b0a77b8b5d467a37e3fe3903cd,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_crispatus
0fc91eb475718f764a889622cacb6725,Bacteria, Actinobacteriota, Actinobacteria, Actinomycetales, Actinomycetaceae, Arcanobacterium, Arcanobacterium_sp.
8a3d7678de582335a1c3c2d412cf2db5,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_crispatus
dfd9c7e0cf82fe73a5dc90aa1812e06f,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_crispatus
b8737bc2940421ba96536c8e422db221,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_crispatus
43e8e29f87e8fe2fa4e0090c6f3a7b3c,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Limosilactobacillus,
a6b61738123a8ac999789ecd385a56bc,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Limosilactobacillus,
513dd9fb86db2519131bdc1eb81f0b91,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Pasteurellaceae, Haemophilus, Haemophilus_parainfluenzae
b5425fc044bde20a06154f3b9f4aebfa,Bacteria, Bacteroidota, Bacteroidia, Flavobacteriales, Weeksellaceae, Bergeyella, uncultured_bacterium
ce5c5e3fb82711593844c97d9a0d050a,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_iners
f4bb563d3f3db6ccdce7a5e9c92d4fc1,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Limosilactobacillus,
29e676ece7b8d93ee1ac8b619ef5f2cc,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_iners
107156dee12a8edfc1782137cda00816,Bacteria, Actinobacteriota, Actinobacteria, Actinomycetales, Actinomycetaceae, Actinomyces, uncultured_bacterium
d2b450212d342ce728e9e12c57657265,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_crispatus
73c8c943e9f0393079b29bd8fa308230,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_crispatus
fbb40856fc2d0daf0f3fe050e24c183c,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_crispatus
dac72e2b5499d93a1465f8ec34c3ca9f,Bacteria, Firmicutes, Clostridia, Peptostreptococcales-Tissierellales, Family_XI, Peptoniphilus,
a06107560c489d4a867203137d24e0a8,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_crispatus
