# Constructed from biom file
#OTU ID	4985-B104-MS28F-388R	4985-B114-MS28F-388R	4985-B122-MS28F-388R	4985-B156-MS28F-388R	4985-B161-MS28F-388R	4985-B163-MS28F-388R	4985-B166-MS28F-388R	4985-B167-MS28F-388R	4985-B172-MS28F-388R	4985-B176-MS28F-388R	4985-B177-MS28F-388R	4985-B178-MS28F-388R	4985-B179-MS28F-388R	4985-B180-MS28F-388R	4985-B183-MS28F-388R	4985-B184-MS28F-388R	4985-B186-MS28F-388R	4985-B187-MS28F-388R	4985-B190-MS28F-388R	4985-B193-MS28F-388R	4985-B194-MS28F-388R	4985-B195-MS28F-388R	4985-B197-MS28F-388R	4985-B198-MS28F-388R	4985-B199-MS28F-388R	4985-B204-MS28F-388R	4985-B207-MS28F-388R	4985-B57-MS28F-388R	4985-B69-MS28F-388R	4985-B87-MS28F-388R	4985-B9-MS28F-388R	4985-M183-MS28F-388R	4985-M189-MS28F-388R	4985-M191-MS28F-388R	4985-M194-MS28F-388R	4985-M201-MS28F-388R	4985-M203-MS28F-388R	4985-M204-MS28F-388R	4985-M211-MS28F-388R	4985-M212-MS28F-388R	4985-M218-MS28F-388R	4985-M220-MS28F-388R	4985-M221-MS28F-388R	4985-M223-MS28F-388R	4985-M225-MS28F-388R	4985-M226-MS28F-388R	4985-M228-MS28F-388R	4985-M230-MS28F-388R	4985-M231-MS28F-388R	4985-M233-MS28F-388R	4985-M234-MS28F-388R	4985-M236-MS28F-388R	4985-M237-MS28F-388R	4985-M241-MS28F-388R	4985-M242-MS28F-388R	4985-M253-MS28F-388R	4985-M254-MS28F-388R	4985-M255-MS28F-388R	4985-M257-MS28F-388R	4985-M261-MS28F-388R	4985-M262-MS28F-388R	4985-M264-MS28F-388R	4985-M269-MS28F-388R	4985-M270-MS28F-388R	4985-M271-MS28F-388R	4985-M279-MS28F-388R	4985-M282-MS28F-388R	4985-M288-MS28F-388R	4985-M289-MS28F-388R	4985-M291-MS28F-388R	4985-M292-MS28F-388R	4985-M294-MS28F-388R	4985-M295-MS28F-388R	4985-M297-MS28F-388R	4985-M298-MS28F-388R	4985-M299-MS28F-388R	4985-M300-MS28F-388R
18d0af16c1e322a1956009fcaa71258f	513.0	19393.0	5648.0	7.0	3.0	16504.0	144.0	16009.0	0.0	7099.0	13750.0	0.0	8.0	0.0	127.0	7.0	7794.0	0.0	0.0	9.0	0.0	0.0	28350.0	0.0	0.0	25615.0	0.0	0.0	0.0	12241.0	5480.0	333.0	6000.0	0.0	4366.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	12749.0	0.0	8903.0	8435.0	0.0	19080.0	0.0	9781.0	0.0	972.0	7656.0	0.0	3930.0	3533.0	5333.0	0.0	0.0	0.0	0.0	0.0	0.0	3986.0	0.0	0.0	5073.0	0.0	13402.0	0.0	0.0	23.0	0.0	18903.0	5597.0	15.0
9b0952f158a6a2b0d6a8f735cb3d995d	39.0	0.0	7.0	10736.0	8027.0	0.0	6931.0	29.0	0.0	0.0	1456.0	0.0	10227.0	0.0	14.0	0.0	10576.0	0.0	0.0	0.0	0.0	0.0	64.0	0.0	0.0	0.0	10.0	0.0	0.0	94.0	6.0	0.0	0.0	6104.0	0.0	7480.0	11102.0	0.0	11516.0	11340.0	0.0	0.0	5244.0	0.0	5944.0	0.0	0.0	0.0	0.0	6780.0	16.0	2340.0	0.0	0.0	9949.0	0.0	0.0	0.0	0.0	13490.0	12779.0	1857.0	3190.0	6555.0	0.0	10775.0	6886.0	13.0	6961.0	25.0	0.0	17254.0	60.0	515.0	6.0	0.0	5.0
65fb00b77af6bb7a59caaf74e6519422	65.0	0.0	16475.0	0.0	0.0	0.0	8140.0	0.0	11.0	20602.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	19.0	0.0	0.0	0.0	7874.0	1121.0	611.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2256.0	0.0	0.0	0.0	0.0	0.0	0.0	176.0	0.0	0.0	11190.0	10239.0	383.0	0.0	0.0	0.0	0.0	8869.0	430.0	0.0	0.0	0.0	0.0	6144.0	0.0	0.0	0.0	0.0	11733.0	0.0	0.0	0.0
c583691d16154c22f1e985ff3d44f05c	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7008.0	0.0	26804.0	0.0	0.0	14629.0	0.0	6463.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5263.0	0.0	0.0	5413.0	93.0	0.0	0.0	0.0	0.0	0.0	207.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8681.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	139.0	0.0	12372.0	0.0	0.0	0.0	14871.0
7a63447fffea2c4969631e19584460fd	3177.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24632.0	22.0	0.0	29995.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1656.0	0.0	0.0	6566.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	3102.0	0.0	0.0	0.0	0.0	0.0	0.0	1370.0	2916.0	6497.0	662.0	275.0	89.0	0.0	6973.0	444.0	1696.0	0.0	0.0	753.0	0.0	2612.0	0.0	103.0	0.0
17ea4053c4da0fd94bbb32a9a4fffd7e	0.0	0.0	0.0	4193.0	0.0	0.0	0.0	0.0	7949.0	0.0	0.0	36.0	0.0	0.0	6451.0	0.0	0.0	7962.0	19.0	14839.0	28.0	0.0	0.0	31.0	0.0	0.0	15285.0	452.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	256.0	0.0	0.0	0.0	0.0	0.0	2187.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1890.0	0.0	0.0	0.0	0.0	0.0	0.0
c2e44bb666bf5be0ba0e3b75a402ce08	0.0	0.0	144.0	0.0	0.0	0.0	214.0	0.0	0.0	43.0	0.0	23675.0	0.0	0.0	2769.0	29003.0	3.0	8.0	0.0	0.0	189.0	14.0	0.0	71.0	47.0	0.0	0.0	2735.0	95.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	632.0
d9a434a667126f26494305a1c78c0564	131.0	5262.0	0.0	0.0	0.0	8624.0	0.0	8826.0	0.0	0.0	8764.0	0.0	0.0	0.0	0.0	0.0	3894.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6982.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6734.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3644.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
91b0cead3069c2e450af8f5cbe3ea57e	0.0	0.0	4624.0	0.0	0.0	0.0	4357.0	0.0	0.0	5486.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4668.0	0.0	0.0	4074.0	0.0	0.0	0.0	0.0	9058.0	268.0	820.0	0.0	773.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2883.0	2732.0	1066.0	0.0	0.0	0.0	0.0	0.0	0.0	1450.0	0.0	0.0	1219.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1600.0	0.0
24761f7c91fda1c3c7347b78947beb40	0.0	0.0	0.0	0.0	0.0	71.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7010.0	0.0	0.0	0.0	75.0	0.0	8971.0	0.0	0.0	0.0	0.0	121.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22720.0	0.0	0.0	0.0	0.0	0.0	0.0
